Name,Year,genres,rating,votes,Key
Dante's Inferno,1911.0,"['Adventure', 'Drama', 'Fantasy']",7.1,4048,"(""Dante's Inferno"", 1911.0)"
Ingeborg Holm,1913.0,['Drama'],7.0,1589,"('Ingeborg Holm', 1913.0)"
Cabiria,1914.0,"['Adventure', 'Drama', 'History']",7.1,4306,"('Cabiria', 1914.0)"
Les Vampires,1915.0,"['Action', 'Adventure', 'Crime']",7.3,5857,"('Les Vampires', 1915.0)"
Intolerance,1916.0,"['Drama', 'History']",7.6,17849,"('Intolerance', 1916.0)"
Judex,1916.0,"['Adventure', 'Crime']",7.2,1225,"('Judex', 1916.0)"
A Man There Was,1917.0,"['Drama', 'War']",7.3,2552,"('A Man There Was', 1917.0)"
The Outlaw and His Wife,1918.0,['Drama'],7.2,2293,"('The Outlaw and His Wife', 1918.0)"
Different from the Others,1919.0,"['Crime', 'Drama', 'History']",7.0,1684,"('Different from the Others', 1919.0)"
The Oyster Princess,1919.0,['Comedy'],7.2,2375,"('The Oyster Princess', 1919.0)"
Broken Blossoms,1919.0,"['Drama', 'Romance']",7.2,11727,"('Broken Blossoms', 1919.0)"
Sir Arne's Treasure,1919.0,"['Drama', 'History']",7.1,1685,"(""Sir Arne's Treasure"", 1919.0)"
J'accuse!,1919.0,"['Drama', 'Horror', 'War']",7.7,2372,"(""J'accuse!"", 1919.0)"
The Cabinet of Dr. Caligari,1920.0,"['Horror', 'Mystery', 'Thriller']",8.0,75718,"('The Cabinet of Dr. Caligari', 1920.0)"
Male and Female,1919.0,"['Adventure', 'Drama']",7.0,2062,"('Male and Female', 1919.0)"
The Doll,1919.0,"['Comedy', 'Fantasy', 'Romance']",7.4,2636,"('The Doll', 1919.0)"
The Golem,1920.0,"['Fantasy', 'Horror']",7.2,9437,"('The Golem', 1920.0)"
The Mark of Zorro,1920.0,"['Adventure', 'Drama', 'Romance']",7.0,3060,"('The Mark of Zorro', 1920.0)"
The Penalty,1920.0,"['Crime', 'Drama', 'Horror']",7.3,2850,"('The Penalty', 1920.0)"
